Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
45,PRTY,AAA,Party City Holdco Inc. Common Stock,99.991,276.74,1/8/2021
46,STNG,AA+,Scorpio Tankers Inc. Common Shares,99.991,55,2/5/2021
47,FCEL,AA+,"FuelCell Energy, Inc. - Common Stock",99.991,994.95,2/5/2021
48,MSTR,AA+,MicroStrategy Incorporated - Class A Common Stock,99.991,257.36,2/5/2021
49,HYLN,AA+,Hyliion Holdings Corp. Class A Common Stock,99.991,-29.58,2/3/2021
50,NXE,AA+,Nexgen Energy Ltd. Common Shares,99.989,87.32,2/2/2021
51,VBIV,AA+,"VBI Vaccines, Inc. - Ordinary Shares",99.99,60.76,2/2/2021
52,GRVY,AA+,"GRAVITY Co., Ltd. - American depositary shares, e",99.99,24.25,1/29/2021
53,CRSR,AA+,"Corsair Gaming, Inc. - Common Stock",99.99,67.16,2/2/2021
54,APHA,AA+,Aphria Inc. Common Shares,99.989,234.6,2/4/2021
55,PRTS,AA+,"U.S. Auto Parts Network, Inc. - Common Stock",99.989,38.42,1/27/2021
56,SGMO,AA+,"Sangamo Therapeutics, Inc. - Common Stock",99.989,30.89,2/2/2021
57,DTIL,AA+,"Precision BioSciences, Inc. - Common Stock",99.989,140.05,2/5/2021
58,TIGR,AA+,UP Fintech Holding Limited - American Depositary,99.989,426.16,1/27/2021
59,SKT,AA+,"Tanger Factory Outlet Centers, Inc. Common Stock",99.989,93.64,1/23/2021
60,GRWG,AA+,GrowGeneration Corp. - Common Stock,99.988,184.31,2/3/2021
61,INSG,AA+,Inseego Corp. - Common Stock,99.988,112.97,2/2/2021
62,PGEN,AA+,"Precigen, Inc. - Common Stock",99.988,82.28,1/13/2021
63,LXRX,AA+,"Lexicon Pharmaceuticals, Inc. - Common Stock",99.987,856.27,1/29/2021
64,PLOW,AA+,"Douglas Dynamics, Inc. Common Stock",99.987,27.33,1/28/2021
65,XONE,AA+,The ExOne Company - Common Stock,99.987,324.95,2/6/2021
66,DHT,AA+,"DHT Holdings, Inc.",99.987,19.4,12/10/2020
67,THRM,AA+,Gentherm Inc - Common Stock,99.986,37.76,10/24/2020
68,NKLA,AA+,Nikola Corporation - Common Stock,99.985,22.16,12/29/2020
69,CWH,AA+,"Camping World Holdings, Inc. Class A Commom Stock",99.984,40.3,1/15/2021
70,FOSL,AA+,"Fossil Group, Inc. - Common Stock",99.984,192.05,1/28/2021
71,CMPS,AA+,COMPASS Pathways Plc - American Depository Shares,99.984,20.67,1/17/2021
72,CNR,AA+,"Cornerstone Building Brands, Inc. Common Stock",99.984,46.42,11/9/2020
73,SWBI,AA+,"Smith & Wesson Brands, Inc. - Common Stock",99.984,-1.46,1/27/2021
74,CDEV,AA+,"Centennial Resource Development, Inc. - Class A C",99.984,437.77,2/3/2021
75,GILT,AA+,Gilat Satellite Networks Ltd. - Ordinary Shares,99.983,149.95,2/6/2021
76,EH,AA+,EHang Holdings Limited - ADS,99.983,760.36,12/11/2020
77,JMIA,AA+,"Jumia Technologies AG American Depositary Shares,",99.983,142.23,1/27/2021
78,PSNL,AA+,"Personalis, Inc. - Common Stock",99.983,55.42,1/9/2021
79,GTHX,AA+,"G1 Therapeutics, Inc. - Common Stock",99.983,132.26,1/22/2021
80,PENN,AA+,"Penn National Gaming, Inc. - Common Stock",99.982,101.86,1/17/2021
81,TRIP,AA+,"TripAdvisor, Inc. - Common Stock",99.982,79.68,12/13/2020
82,MGNI,AA+,"Magnite, Inc. - Common Stock",99.982,369.55,9/1/2020
83,APPS,AA+,"Digital Turbine, Inc. - Common Stock",99.982,109.91,1/8/2021
84,RAD,AA+,Rite Aid Corporation Common Stock,99.981,123.6,1/12/2021
85,RIG,AA+,Transocean Ltd (Switzerland) Common Stock,99.981,252.66,1/4/2021
86,VLDR,AA+,"Velodyne Lidar, Inc. - Common Stock",99.98,63.57,1/5/2021
87,OTRK,AA+,"Ontrak, Inc. - Common Stock",99.98,39.79,1/14/2021
88,AAL,AA+,"American Airlines Group, Inc. - Common Stock",99.98,83.28,1/29/2021
89,TR,AA+,"Tootsie Roll Industries, Inc. Common Stock",99.979,34.99,1/28/2021
90,NNOX,AA+,NANO-X IMAGING LTD - Ordinary Shares,99.979,36.45,1/20/2021
91,clne,AA+,Clean Energy Fuels Corp. - Common Stock,99.979,434.81,12/24/2020
92,BYND,AA+,"Beyond Meat, Inc. - Common stock",99.979,8.05,9/12/2020
93,TRVG,AA+,trivago N.V. - American Depositary Shares,99.978,101.75,1/28/2021
94,EHTH,AA+,"eHealth, Inc. - Common Stock",99.978,-22.29,2/2/2021
95,MYOV,AA+,Myovant Sciences Ltd. Common Shares,99.978,64.62,12/29/2020
96,ADAP,AA+,Adaptimmune Therapeutics plc - American Depositar,99.978,3.57,1/21/2021
97,NVAX,AA+,"Novavax, Inc. - Common Stock",99.978,254.45,12/28/2020
98,MAXR,AA+,Maxar Technologies Ltd.,99.977,139.47,11/3/2020
99,XPEL,AA+,"XPEL, Inc. - Common Stock",99.977,96.76,1/8/2021
100,OMER,AA+,Omeros Corporation - Common Stock,99.977,103.21,8/19/2020
101,VERI,AA+,"Veritone, Inc. - Common Stock",99.976,413.26,12/8/2020
102,arct,AA+,Arcturus Therapeutics Ltd. - Ordinary Shares,99.976,34.34,1/8/2021
103,AR,AA+,Antero Resources Corporation Common Stock,99.976,66.16,1/19/2021
104,MDXG,AA+,"MiMedx Group, Inc - Common Stock",99.976,61.84,12/17/2020
105,OPK,AA+,"Opko Health, Inc. - Common Stock",99.976,45.6,1/4/2021
106,EDIT,AA+,"Editas Medicine, Inc. - Common Stock",99.975,112.11,1/20/2021
107,GATO,AA+,"Gatos Silver, Inc. Common Stock",99.975,120.54,1/6/2021
108,FLGT,AA+,"Fulgent Genetics, Inc. - Common Stock",99.975,41.05,1/3/2021
109,dea,AA+,"Easterly Government Properties, Inc. Common Stock",99.975,6.16,1/20/2021
110,WPRT,AA+,Westport Fuel Systems Inc - Common Shares,99.975,355.25,2/6/2021
111,PLUG,AA+,"Plug Power, Inc. - Common Stock",99.972,331.65,1/16/2021
112,fsm,AA+,Fortuna Silver Mines Inc Ordinary Shares (Canada),99.972,-4.51,1/29/2021
113,PLTR,AA+,Palantir Technologies Inc. Class A Common Stock,99.972,191.24,1/26/2021
114,FSLY,AA+,"Fastly, Inc. Class A Common Stock",99.972,56.76,12/13/2020
115,grpn,AA+,"Groupon, Inc. - Common Stock",99.972,62.59,11/22/2020
116,CDE,AA+,"Coeur Mining, Inc. Common Stock",99.971,6.19,1/30/2021
117,PBI,AA+,Pitney Bowes Inc. Common Stock,99.971,64.37,1/29/2021
118,AMCX,AA+,AMC Networks Inc. - Class A Common Stock,99.971,96.19,1/28/2021
119,COTY,AA+,Coty Inc. Class A Common Stock,99.97,87.44,1/22/2021
120,FEYE,AA+,"FireEye, Inc. - Common Stock",99.97,47.61,1/26/2021
121,BIGC,AA+,"BigCommerce Holdings, Inc. - Series 1 Common Stoc",99.971,10.55,1/16/2021
122,NK,AA+,"NantKwest, Inc. - Common Stock",99.97,194.53,9/19/2020
123,DDS,AA+,"Dillard's, Inc. Common Stock",99.97,74.36,1/28/2021
124,SM,AA+,SM Energy Company Common Stock,99.97,527.22,1/6/2021
125,pbf,AA+,PBF Energy Inc. Class A Common Stock,99.969,87.87,12/31/2020
126,JKS,AA+,JinkoSolar Holding Company Limited American Depos,99.968,-0.77,1/6/2021
127,CELH,AA+,"Celsius Holdings, Inc. - Common Stock",99.968,169.83,11/5/2020
128,YALA,AA+,"Yalla Group Limited American Depositary Shares, e",99.968,242.86,12/21/2020
129,SPWR,AA+,SunPower Corporation - Common Stock,99.968,114.12,2/3/2021
130,CCJ,AA+,Cameco Corporation Common Stock,99.966,50.72,2/2/2021
131,KDMN,AA+,"Kadmon Holdings, Inc. Common Stock",99.966,67.14,2/6/2021
132,MESO,AA+,Mesoblast Limited - American Depositary Shares,99.965,-18.39,11/11/2020
133,SRG,AA+,Seritage Growth Properties Class A Common Stock,99.965,55.9,2/4/2021
134,QTT,AA,Qutoutiao Inc. - American Depositary Shares,99.964,59.15,2/6/2021
135,CARS,AA,Cars.com Inc. Common Stock,99.963,45.14,2/3/2021
136,IRBT,AA,iRobot Corporation - Common Stock,99.963,36.19,2/6/2021
137,DBI,AA,Designer Brands Inc. Class A Common Stock,99.963,142.71,2/6/2021
138,TWTR,AA,"Twitter, Inc. Common Stock",99.963,31.68,2/5/2021
139,SPCE,AA,"Virgin Galactic Holdings, Inc. Common Stock",99.963,88.75,2/5/2021
140,NIU,AA,Niu Technologies - American Depositary Shares,99.962,46.73,2/4/2021
141,HL,AA,Hecla Mining Company Common Stock,99.962,9.95,2/6/2021
142,LC,AA,LendingClub Corporation Common Stock,99.962,189.22,2/5/2021
143,SCU,AA,"Sculptor Capital Management, Inc. Class A Common",99.963,59.59,1/11/2021
144,TUP,AA,Tupperware Brands Corporation Common Stock,99.961,12.2,2/5/2021
145,AMRS,AA,"Amyris, Inc. - Common Stock",99.96,686.87,2/4/2021
146,SAVE,AA,"Spirit Airlines, Inc. - Common Stock",99.96,68.97,1/28/2021
147,TCRR,AA,TCR2 Therapeutics Inc. - Common Stock,99.96,40.21,2/3/2021
148,PRVB,AA,"Provention Bio, Inc. - Common Stock",99.96,23.28,2/2/2021
149,GWPH,AA,GW Pharmaceuticals Plc - American Depositary Shar,99.96,88.78,2/4/2021
150,AUPH,AA,Aurinia Pharmaceuticals Inc - Common Shares,99.96,8.64,2/2/2021
151,CGC,AA,Canopy Growth Corporation Common Stock,99.96,89.83,1/28/2021
152,MEG,AA,"Montrose Environmental Group, Inc. Common Stock",99.959,40.35,2/2/2021
153,CRHC,AA,Cohn Robbins Holdings Corp. Class A Ordinary Shar,99.958,15.39,1/28/2021
154,FIZZ,AA,National Beverage Corp. - Common Stock,99.959,34.06,1/29/2021
155,CNK,AA,"Cinemark Holdings Inc Cinemark Holdings, Inc. Com",99.958,119.98,2/4/2021
156,PACB,AA,"Pacific Biosciences of California, Inc. - Common",99.957,161.31,2/2/2021
157,CLLS,AA,Cellectis S.A. - American Depositary Shares,99.956,60.41,12/16/2020
158,DGNR,AA,Dragoneer Growth Opportunities Corp. Class A Ordi,99.957,16.29,2/4/2021
159,FUTU,AA,Futu Holdings Limited - American Depositary Share,99.956,212.07,1/30/2021
160,IIPR,AA,"Innovative Industrial Properties, Inc. Common Sto",99.955,49.75,2/2/2021
161,GMS,AA,GMS Inc. Common Stock,99.955,29.43,2/2/2021
162,SFIX,AA,"Stitch Fix, Inc. - Class A Common Stock",99.954,119.85,1/13/2021
163,NAVI,AA,Navient Corporation - Common Stock,99.954,34.9,2/2/2021
164,TWNK,AA,"Hostess Brands, Inc. - Class A Common Stock",99.953,8.65,1/30/2021
165,PEN,AA,"Penumbra, Inc. Common Stock",99.953,3.24,1/27/2021
166,TGTX,AA,"TG Therapeutics, Inc. - Common Stock",99.955,109.45,1/4/2021
167,VRAY,AA,"ViewRay, Inc. - Common Stock",99.953,98.84,1/6/2021
167,RDFN,AA,Redfin Corporation - Common Stock,99.953,83.33,1/5/2021
168,LMND,AA,"Lemonade, Inc. Common Stock",99.952,111.7,1/28/2021
169,SSYS,AA,"Stratasys, Ltd. - Common Stock",99.952,280.06,1/28/2021
170,CRON,AA,Cronos Group Inc. - Common Share,99.952,30.3,1/29/2021
171,LGND,AA,Ligand Pharmaceuticals Incorporated - Common Stoc,99.952,135.04,1/28/2021
172,SONO,AA,"Sonos, Inc. - Common Stock",99.952,108.16,1/26/2021
173,STRO,AA,"Sutro Biopharma, Inc. - Common Stock",99.951,56.44,2/2/2021
174,PRPL,AA,"Purple Innovation, Inc. - Common Stock",99.951,35.34,1/21/2021
175,gsx,AA,"GSX Techedu Inc. American Depositary Shares, thre",99.951,23.41,1/20/2021
176,HIMX,AA,"Himax Technologies, Inc. - American depositary sh",99.95,227.94,12/19/2020
177,ICPT,AA,"Intercept Pharmaceuticals, Inc. - Common Stock",99.95,25.83,1/7/2021
178,SILV,AA,SilverCrest Metals Inc. Common Shares,99.949,-8.79,1/30/2021
179,ELY,AA,Callaway Golf Company Common Stock,99.948,79.52,1/28/2021
180,ww,AA,Weight Watchers International Inc - Common Stock,99.947,9.25,12/16/2020
181,mik,AA,"The Michaels Companies, Inc. - Common Stock",99.947,102.64,1/21/2021
182,MEI,AA,"Methode Electronics, Inc. Common Stock",99.947,20.83,1/27/2021
183,MDP,AA,Meredith Corporation Common Stock,99.945,73.69,2/3/2021
184,VSTO,AA,Vista Outdoor Inc. Common Stock,99.945,29.32,1/26/2021
185,ESPR,AA,"Esperion Therapeutics, Inc. - Common Stock",99.944,25.29,1/31/2021
186,CLDX,AA,"Celldex Therapeutics, Inc. - Common Stock",99.944,31.89,1/29/2021
187,RGR,AA,"Sturm, Ruger & Company, Inc. Common Stock",99.944,-2.85,1/27/2021
188,SVM,AA,Silvercorp Metals Inc. Common Shares,99.944,-19.97,2/2/2021
189,OSUR,AA,"OraSure Technologies, Inc. - Common Stock",99.943,9.39,1/26/2021
190,HMI,AA,"Huami Corporation American Depositary Shares, eac",99.943,15.48,11/25/2020
191,SWN,AA,Southwestern Energy Company Common Stock,99.943,84.43,12/25/2020
192,ZYME,AA,Zymeworks Inc. Common Shares,99.943,-2.57,1/28/2021
193,CYH,AA,"Community Health Systems, Inc. Common Stock",99.942,-4.06,2/1/2021
194,MAXN,AA,"Maxeon Solar Technologies, Ltd. - Ordinary Shares",99.942,206.56,1/5/2021
195,SRPT,AA,"Sarepta Therapeutics, Inc. - Common Stock",99.942,-23.77,1/9/2021
196,EURN,AA,Euronav NV Ordinary Shares,99.943,8.32,12/31/2020
197,INMD,AA,InMode Ltd.  - Ordinary Share,99.941,63.77,1/11/2021
198,ZGNX,AA,"Zogenix, Inc. - Common Stock",99.942,-1.51,2/4/2021
199,DBX,AA,"Dropbox, Inc. - Class A Common Stock",99.941,29.83,1/11/2021
200,NVTA,AA,Invitae Corporation Common Stock,99.941,19.79,1/18/2021
201,API,AA,"Agora, Inc. - ADS",99.941,128.9,11/26/2020
202,SFL,AA,Ship Finance International Limited,99.94,8.96,1/17/2021
203,PTON,AA,"Peloton Interactive, Inc. - Common Stock",99.94,18.76,2/5/2021
204,LTHM,AA,Livent Corporation Common Stock,99.938,45.13,10/10/2020
205,OAS,AA,Oasis Petroleum Inc. Common Stock,99.938,2695.59,1/14/2021
206,BOX,AA,"Box, Inc. Class A Common Stock",99.938,8.59,1/17/2021
207,REGI,AA,"Renewable Energy Group, Inc. - Common Stock",99.937,84.16,1/4/2021
208,UPWK,AA,Upwork Inc. - Common Stock,99.937,76.32,1/27/2021
209,BSM,AA,"Black Stone Minerals, L.P. Common units represent",99.937,44.83,1/17/2021
210,PTGX,AA,"Protagonist Therapeutics, Inc. - Common Stock",99.936,18.26,12/24/2020
211,FOUR,AA,"Shift4 Payments, Inc. Class A Common Stock",99.939,42.66,2/5/2021
212,ALXO,AA,ALX Oncology Holdings Inc. - Common Stock,99.935,74.51,12/11/2020
213,CALX,AA,"Calix, Inc Common Stock",99.935,23.16,1/19/2021
214,KOS,AA,Kosmos Energy Ltd. Common Shares,99.935,170.74,2/2/2021
215,PINS,AA,"Pinterest, Inc. Class A Common Stock",99.935,28.74,2/6/2021
216,AWH,AA,Aspira Women's Health Inc. - Common Stock,99.934,81.37,2/5/2021
217,FRO,AA,Frontline Ltd. Ordinary Shares,99.933,15.28,1/16/2021
218,ICLK,AA,iClick Interactive Asia Group Limited - American,99.933,126.92,1/24/2021
219,LORL,AA,"Loral Space and Communications, Inc. - Common Sto",99.931,84.21,1/15/2021
220,NOVA,AA,Sunnova Energy International Inc. Common Stock,99.931,56.1,1/20/2021
221,shak,AA,"Shake Shack, Inc. Class A Common Stock",99.931,65.8,1/14/2021
222,BALY,AA-,Bally's Corporation Common Stock,99.93,103.37,2/6/2021
223,FPRX,AA-,"Five Prime Therapeutics, Inc. - Common Stock",99.931,372.7,2/6/2021
224,NTLA,AA-,"Intellia Therapeutics, Inc. - Common Stock",99.928,163.98,2/5/2021
225,BTAI,AA-,"BioXcel Therapeutics, Inc. - Common Stock",99.929,-11.45,2/5/2021
226,MOMO,AA-,Momo Inc. - American Depositary Shares,99.929,19.68,2/2/2021
227,EBIX,AA-,"Ebix, Inc. - Common Stock",99.929,146.85,1/23/2021
228,DENN,AA-,Denny's Corporation - Common Stock,99.929,91.74,2/5/2021
229,SIG,AA-,Signet Jewelers Limited Common Shares,99.928,92.7,2/4/2021
230,CVI,AA-,CVR Energy Inc. Common Stock,99.927,75.89,2/4/2021
231,GLUU,AA-,Glu Mobile Inc. - Common Stock,99.927,5.25,2/5/2021
232,JWN,AA-,"Nordstrom, Inc. Common Stock",99.928,166.17,1/21/2021
233,SBLK,AA,Star Bulk Carriers Corp. - Common Shares,99.924,66.87,2/4/2021
234,OMI,AA-,"Owens & Minor, Inc. Common Stock",99.926,19.55,2/4/2021
235,AXSM,AA-,"Axsome Therapeutics, Inc. - Common Stock",99.926,11.55,2/4/2021
236,PGNY,AA-,"Progyny, Inc. - Common Stock",99.926,85.01,2/5/2021
237,ORGO,AA-,Organogenesis Holdings Inc.  - Class A,99.924,292.42,2/5/2021
238,QURE,AA-,uniQure N.V. - Ordinary Shares,99.925,12.82,2/4/2021
239,LL,AA-,"Lumber Liquidators Holdings, Inc Common Stock",99.924,10.36,2/3/2021
240,RVLV,AA-,"Revolve Group, Inc. Class A Common Stock",99.924,103.39,2/5/2021
241,TDOC,AA-,"Teladoc, Inc. Common Stock",99.923,38.56,2/2/2021
242,RXT,AA-,"Rackspace Technology, Inc. - Common Stock",99.923,32.21,1/28/2021
243,AAWW,AA-,Atlas Air Worldwide Holdings - Common Stock,99.924,-11.34,2/2/2021
244,CRTX,AA-,"Cortexyme, Inc. - Common Stock",99.922,-8.67,12/21/2020
245,vapo,AA-,"Vapotherm, Inc. Common Stock",99.922,29.05,2/3/2021
246,MRUS,AA-,Merus N.V. - Common Shares,99.921,168.83,1/30/2021
247,SDGR,AA-,"Schrodinger, Inc. - Common Stock",99.921,89.32,2/2/2021
248,CMRE,AA-,Costamare Inc. Common Stock $0.0001 par value,99.92,45.05,12/29/2020
249,OZON,AA-,"Ozon Holdings PLC - ADS, each ADS representing on",99.92,80.31,1/16/2021
250,MIC,AA-,Macquarie Infrastructure Company Common Stock,99.917,10.38,1/20/2021
251,RKT,AA-,"Rocket Companies, Inc. Class A Common Stock",99.919,0.74,1/28/2021
252,FGEN,AA-,"FibroGen, Inc - Common Stock",99.92,26.6,2/2/2021
253,MRNA,AA-,"Moderna, Inc. - Common Stock",99.918,143.26,1/14/2021
254,RPTX,AA-,Repare Therapeutics Inc. - Common Shares,99.918,31.95,1/31/2021
255,rckt,AA-,"Rocket Pharmaceuticals, Inc. - Common Stock",99.918,143.96,2/2/2021
256,SPH,AA-,"Suburban Propane Partners, L.P. Common Stock",99.919,-1.96,1/20/2021
257,TWST,AA-,Twist Bioscience Corporation - Common Stock,99.92,72.68,2/6/2021
258,NGD,AA-,New Gold Inc.,99.916,-5.69,1/25/2021
259,TRTX,AA-,"TPG RE Finance Trust, Inc. Common Stock",99.918,37.7,1/26/2021
260,TLS,AA-,Telos Corporation - Common Stock,99.916,427.39,1/11/2021
261,AMRN,AA-,Amarin Corporation plc - American Depositary Shar,99.914,18.69,2/3/2021
262,RILY,AA-,"B. Riley Financial, Inc. - Common Stock",99.914,95.8,1/31/2021
263,ETSY,AA-,"Etsy, Inc. - Common Stock",99.915,58,1/27/2021
264,TPB,AA-,"Turning Point Brands, Inc. Common Stock",99.913,41.28,1/26/2021
265,TARS,AA-,"Tarsus Pharmaceuticals, Inc. - Common Stock",99.913,75.22,2/5/2021
266,FIT,AA-,"Fitbit, Inc. Class A Common Stock",99.913,-1.56,1/28/2021
267,HOG,AA-,"Harley-Davidson, Inc. Common Stock",99.911,0.27,2/4/2021
268,YETI,AA-,"YETI Holdings, Inc. Common Stock",99.912,24.12,2/2/2021
269,RUN,AA-,Sunrun Inc. - Common Stock,99.911,30.05,1/27/2021
270,ROAD,AA-,"Construction Partners, Inc. - Common Stock",99.914,40.47,1/26/2021
271,XPEV,AA-,"XPeng Inc. American depositary shares, each repre",99.911,33.59,1/20/2021
272,OPRA,AA-,Opera Limited - American Depositary Shares,99.911,0.34,1/30/2021
273,CSIQ,AA-,Canadian Solar Inc. - common shares,99.91,45.97,1/3/2021
274,INN,AA-,"Summit Hotel Properties, Inc. Common Stock",99.911,51.64,2/5/2021
275,IMAX,AA-,Imax Corporation Common Stock,99.909,54.74,1/4/2021
276,SNOW,AA-,Snowflake Inc. Class A Common Stock,99.908,18.16,1/30/2021
277,FREQ,AA-,"Frequency Therapeutics, Inc. - Common Stock",99.908,117.23,1/6/2021
278,PS,AA-,"Pluralsight, Inc. - Class A Common Stock",99.907,47.72,1/4/2021
279,PAAS,AA-,Pan American Silver Corp. - Common Stock,99.908,-12.72,2/1/2021
280,ZUO,AA-,"Zuora, Inc. Class A Common Stock",99.906,52.68,1/4/2021
281,ARVN,AA-,"Arvinas, Inc. - Common Stock",99.906,341.64,1/30/2021
282,NET,AA-,"Cloudflare, Inc. Class A Common Stock",99.907,33.4,12/8/2020
283,HOPE,AA-,"Hope Bancorp, Inc. - Common Stock",99.904,46.1,1/30/2021
284,RNLX,AA-,Renalytix AI plc - American Depositary Shares,99.905,91.71,1/22/2021
285,DQ,AA-,"DAQO New Energy Corp. American Depositary Shares,",99.904,145.05,1/4/2021
286,AUDC,AA-,AudioCodes Ltd. - Ordinary Shares,99.904,2.99,1/29/2021
287,JBLU,AA-,JetBlue Airways Corporation - Common Stock,99.904,47.63,2/4/2021
288,AVAL,AA-,Grupo Aval Acciones y Valores S.A. ADR (Each repr,99.904,39.42,1/27/2021
289,SABR,AA-,Sabre Corporation - Common Stock,99.903,77.15,1/11/2021
290,CARA,AA-,"Cara Therapeutics, Inc. - Common Stock",99.903,45.52,1/18/2021
291,PACK,AA-,Ranpak Holdings Corp Class A Common Stock,99.902,93.48,1/24/2021
292,CDMO,AA-,"Avid Bioservices, Inc. - Common Stock",99.9,131.79,1/25/2021
293,PING,AA-,Ping Identity Holding Corp. Common Stock,99.901,47.31,11/6/2020
294,GSKY,AA-,"GreenSky, Inc. - Common Stock",99.9,39.49,12/11/2020
295,CLDR,AA-,"Cloudera, Inc. Common Stock",99.9,50.75,2/3/2021
296,WWE,AA-,"World Wrestling Entertainment, Inc. Class A Commo",99.9,26.49,2/6/2021
297,ARWR,AA-,"Arrowhead Pharmaceuticals, Inc. - Common Stock",99.9,16,1/28/2021
298,BLFS,AA-,"BioLife Solutions, Inc. - Common Stock",99.899,23.33,1/14/2021
299,KTOS,AA-,"Kratos Defense & Security Solutions, Inc. - Commo",99.898,49.97,1/17/2021
300,ONEM,AA-,"1Life Healthcare, Inc. - Common Stock",99.897,84.2,1/21/2021
301,KIDS,AA-,OrthoPediatrics Corp. - Common Stock,99.898,21.48,1/22/2021
302,AQUA,AA-,Evoqua Water Technologies Corp. Common Stock,99.898,12.84,1/4/2021
303,EQX,AA-,Equinox Gold Corp. Common Shares,99.897,-12.3,1/18/2021
304,ROKU,AA-,"Roku, Inc. - Class A Common Stock",99.897,76.72,1/21/2021
305,ZNGA,AA-,Zynga Inc. - Class A Common Stock,99.892,17.94,2/6/2021
306,UTZ,AA-,Utz Brands Inc Class A Common Stock,99.895,38.54,1/29/2021
307,EXPI,AA-,"eXp World Holdings, Inc. - Common Stock",99.895,32.29,1/20/2021
308,RAVN,AA-,"Raven Industries, Inc. - Common Stock",99.894,56.81,12/26/2020
309,FL,AA-,"Foot Locker, Inc.",99.891,31.94,1/31/2021
310,SRRK,AA-,Scholar Rock Holding Corporation - Common Stock,99.893,57.4,2/5/2021
